nombre,descripcion,preferencia_alimenticia,ingredientes
Ensalada Caprese,"Ensalada fresca con tomate y queso mozzarella",vegetariano,"tomate, queso mozzarella, albahaca, aceite de oliva, sal"
Pizza Margarita,"Pizza clásica con tomate, queso y albahaca",vegetariano,"tomate, queso mozzarella, albahaca, harina, levadura"
Pollo al Curry,"Pollo con salsa de curry y especias",ninguno,"pollo, curry, leche de coco, cebolla, ajo, jengibre"
Pasta al Pesto,"Pasta con salsa de albahaca y parmesano",vegetariano,"pasta, albahaca, ajo, queso parmesano, aceite de oliva, piñones"
Sopa de Verduras,"Sopa saludable con diversas verduras",vegano,"zanahoria, apio, cebolla, tomate, patata, caldo de verduras"
Tacos de Pollo,"Tacos con pollo desmenuzado y guacamole",ninguno,"pollo, tortilla de maíz, aguacate, tomate, cebolla, cilantro"
Falafel,"Croquetas de garbanzo servidas con salsa tahini",vegano,"garbanzo, ajo, perejil, cilantro, comino, tahini"
Hamburguesa Vegana,"Hamburguesa hecha con lentejas y avena",vegano,"lentejas, avena, cebolla, zanahoria, pan integral, lechuga"
Panqueques,"Panqueques tradicionales con sirope de arce",vegetariano,"harina, huevo, leche, azúcar, mantequilla, sirope de arce"
Paella de Mariscos,"Paella española con una mezcla de mariscos",ninguno,"arroz, camarones, mejillones, almejas, pimiento, azafrán"
Sushi de Aguacate,"Rollos de sushi con aguacate y pepino",vegano,"arroz para sushi, alga nori, aguacate, pepino, vinagre de arroz"
Chili Vegetariano,"Estofado de frijoles con pimientos y especias",vegetariano,"frijoles, tomate, cebolla, pimientos, comino, chile en polvo"
Arroz con Pollo,"Plato tradicional con arroz y pollo",ninguno,"arroz, pollo, cebolla, ajo, tomate, pimientos, guisantes"
Galletas de Chocolate,"Galletas caseras con chips de chocolate",vegetariano,"harina, azúcar, mantequilla, huevo, chocolate"
Lasaña de Berenjena,"Lasaña sin carne con capas de berenjena",vegetariano,"berenjena, tomate, queso ricotta, queso mozzarella, albahaca"
Crema de Calabaza,"Crema suave y reconfortante de calabaza",vegetariano,"calabaza, cebolla, ajo, crema, caldo de verduras"
Ceviche,"Ceviche clásico con pescado, limón y cilantro",ninguno,"pescado, limón, cebolla, cilantro, tomate, ají"
Enchiladas de Queso,"Enchiladas rellenas de queso con salsa roja",vegetariano,"tortilla de maíz, queso, tomate, chile, cebolla"
Wrap de Hummus,"Wrap ligero con hummus y verduras frescas",vegano,"tortilla integral, hummus, zanahoria, pepino, lechuga"
Brownies,"Brownies de chocolate húmedos y deliciosos",vegetariano,"chocolate, harina, mantequilla, huevo, azúcar"
Tarta de Manzana,"Tarta clásica con relleno de manzanas caramelizadas",vegetariano,"manzana, harina, mantequilla, azúcar, canela, huevo"
Gazpacho,"Sopa fría de tomate y otras hortalizas",vegano,"tomate, pimiento, pepino, ajo, aceite de oliva, vinagre"
Pollo Teriyaki,"Pollo glaseado con salsa teriyaki",ninguno,"pollo, salsa de soja, azúcar, jengibre, ajo, arroz"
Croquetas de Jamón,"Croquetas caseras con jamón serrano",ninguno,"leche, harina, jamón serrano, mantequilla, huevo, pan rallado"
Couscous con Verduras,"Couscous con una mezcla de verduras al vapor",vegano,"couscous, zanahoria, calabacín, cebolla, garbanzo, especias"
Ratatouille,"Plato francés con verduras guisadas",vegano,"berenjena, calabacín, tomate, pimiento, cebolla, ajo"
Tarta de Queso,"Tarta de queso al horno con base de galletas",vegetariano,"queso crema, huevo, azúcar, galletas, mantequilla"
Pollo a la Cacciatore,"Pollo guisado con tomates y hierbas italianas",ninguno,"pollo, tomate, ajo, cebolla, romero, vino blanco"
Hummus,"Puré de garbanzos con tahini y limón",vegano,"garbanzo, tahini, limón, ajo, aceite de oliva, comino"
Guacamole,"Crema de aguacate con tomate y limón",vegano,"aguacate, tomate, cebolla, cilantro, limón, sal"
Burritos de Carne,"Burritos con carne picada y frijoles",ninguno,"carne picada, tortilla de trigo, frijoles, tomate, queso"
Tarta de Chocolate,"Tarta de chocolate intensa y esponjosa",vegetariano,"chocolate, harina, mantequilla, huevo, azúcar, cacao"
Tabulé,"Ensalada de couscous con perejil y limón",vegano,"couscous, tomate, pepino, cebolla, perejil, limón"
Pollo Tikka Masala,"Pollo marinado en especias con salsa cremosa",ninguno,"pollo, yogur, tomate, especias, nata, ajo"
Pizza de Champiñones,"Pizza vegetariana con champiñones y queso",vegetariano,"harina, levadura, tomate, champiñones, queso mozzarella"
Arroz Frito,"Arroz frito estilo asiático con verduras",vegano,"arroz, zanahoria, guisantes, cebolla, salsa de soja, aceite"
Salteado de Tofu,"Tofu salteado con verduras y salsa de soja",vegano,"tofu, pimiento, zanahoria, brócoli, salsa de soja"
Canelones de Espinacas,"Canelones rellenos de espinacas y ricotta",vegetariano,"pasta de canelones, espinacas, ricotta, queso, tomate"
Tarta de Limón,"Tarta refrescante con crema de limón",vegetariano,"limón, leche condensada, huevo, galletas, mantequilla"
Calamares a la Romana,"Calamares empanados y fritos",ninguno,"calamares, harina, huevo, pan rallado, aceite, limón"
Bruschetta,"Pan tostado con tomate y albahaca",vegetariano,"pan, tomate, ajo, albahaca, aceite de oliva, sal"
Pan de Plátano,"Pan dulce y esponjoso con plátano maduro",vegetariano,"plátano, harina, azúcar, mantequilla, huevo, canela"
Espaguetis a la Carbonara,"Pasta con salsa de huevo y panceta",ninguno,"espaguetis, huevo, panceta, queso parmesano, pimienta"
Calabacines Rellenos,"Calabacines rellenos de arroz y verduras",vegetariano,"calabacín, arroz, tomate, cebolla, queso, ajo"
Guiso de Lentejas,"Lentejas guisadas con verduras y especias",vegano,"lentejas, zanahoria, cebolla, ajo, pimiento, especias"
Crepes Dulces,"Crepes rellenos de crema de chocolate",vegetariano,"harina, huevo, leche, azúcar, mantequilla, crema de chocolate"
Paella Vegetariana,"Paella con verduras frescas",vegetariano,"arroz, alcachofas, pimiento, tomate, guisantes, azafrán"
Empanadas de Verduras,"Empanadas rellenas de espinacas y queso",vegetariano,"harina, mantequilla, espinacas, queso, cebolla"
Rollo Primavera,"Rollos rellenos de verduras frescas",vegano,"hojas de arroz, zanahoria, pepino, lechuga, menta, salsa de soja"
Sopa Minestrone,"Sopa italiana con verduras y pasta",vegano,"calabacín, tomate, pasta, cebolla, zanahoria, apio"
Risotto de Champiñones,"Risotto cremoso con champiñones",vegetariano,"arroz arborio, champiñones, cebolla, queso parmesano, vino blanco"
Ensalada de Quinoa,"Ensalada ligera con quinoa y aguacate",vegano,"quinoa, aguacate, tomate, pepino, limón, cilantro"
Ñoquis de Papa,"Ñoquis caseros con salsa de tomate",vegetariano,"patata, harina, huevo, tomate, queso parmesano, albahaca"
Pollo al Limón,"Pollo al horno con limón y hierbas",ninguno,"pollo, limón, ajo, tomillo, aceite de oliva"
Tarta de Zanahoria,"Tarta dulce con zanahorias y nueces",vegetariano,"zanahoria, harina, azúcar, nueces, canela, huevo"
Pimientos Rellenos,"Pimientos rellenos de arroz y carne picada",ninguno,"pimientos, arroz, carne picada, tomate, cebolla, ajo"
Muffins de Arándanos,"Muffins esponjosos con arándanos frescos",vegetariano,"harina, azúcar, arándanos, huevo, mantequilla, leche"
Pan de Ajo,"Pan horneado con mantequilla de ajo",vegetariano,"pan, ajo, mantequilla, perejil, queso parmesano"
Berenjenas a la Parmesana,"Berenjenas gratinadas con queso y tomate",vegetariano,"berenjena, tomate, queso mozzarella, albahaca, parmesano"
Salmón al Horno,"Salmón al horno con hierbas y limón",ninguno,"salmón, limón, ajo, tomillo, aceite de oliva"
Ensalada Griega,"Ensalada fresca con pepino, tomate y queso feta",vegetariano,"pepino, tomate, cebolla, queso feta, aceitunas, aceite de oliva, orégano"
Ramen Vegetariano,"Sopa de fideos con caldo de miso y verduras",vegano,"fideos de ramen, caldo de miso, zanahoria, cebolla, espinacas, alga nori"
Tarta de Naranja,"Tarta suave con crema de naranja",vegetariano,"naranja, harina, azúcar, mantequilla, huevo"
Gallo en Salsa,"Pescado blanco con salsa de vino blanco y hierbas",ninguno,"gallo, vino blanco, ajo, cebolla, perejil, aceite de oliva"
Curry de Verduras,"Curry con una mezcla de verduras y especias",vegano,"zanahoria, calabacín, cebolla, tomate, curry, leche de coco"
Ensalada de Atún,"Ensalada con atún, huevo duro y vegetales",ninguno,"atún, huevo duro, tomate, lechuga, cebolla, aceite de oliva"
Moussaka,"Plato griego de berenjena, carne y bechamel",ninguno,"berenjena, carne picada, tomate, cebolla, bechamel, queso parmesano"
Sopa de Tomate,"Sopa cremosa de tomate con albahaca",vegano,"tomate, cebolla, ajo, albahaca, aceite de oliva, caldo de verduras"
Frittata de Espinacas,"Tortilla italiana con espinacas y queso",vegetariano,"huevo, espinacas, queso, cebolla, aceite de oliva"
Empanadas de Carne,"Empanadas rellenas de carne picada y huevo duro",ninguno,"carne picada, cebolla, huevo duro, masa de empanada"
Pasta con Mariscos,"Pasta con una salsa de mariscos y tomate",ninguno,"pasta, camarones, mejillones, ajo, tomate, aceite de oliva"
Kebabs de Pollo,"Brochetas de pollo con especias",ninguno,"pollo, cebolla, pimiento, ajo, comino, aceite de oliva"
Kebabs de Pollo marinado,"Brochetas de pollo marinadas con especias",ninguno,"pollo, cebolla, pimiento, ajo, comino, aceite de oliva, curry"
Pizza de Peperoni,"Pizza con rodajas de peperoni y queso",ninguno,"harina, levadura, tomate, queso mozzarella, peperoni"
Sopa de Lentejas,"Sopa de lentejas con zanahoria y apio",vegano,"lentejas, zanahoria, apio, cebolla, ajo, caldo de verduras"
Tostadas con Aguacate,"Pan tostado con aguacate y huevo poché",vegetariano,"pan, aguacate, huevo, sal, pimienta, aceite de oliva"
Bulgur con Verduras,"Bulgur cocido con una mezcla de verduras",vegano,"bulgur, zanahoria, pepino, cebolla, tomate, cilantro"
Pollo con Papas,"Pollo asado con papas y cebolla",ninguno,"pollo, papa, cebolla, ajo, aceite de oliva, romero"
Quiche de Espinacas,"Quiche de espinacas con masa quebrada",vegetariano,"espinacas, huevo, leche, queso, masa quebrada"
